Order Date,Year,Order Qty,Cost of Sales,Sales,Profit,Channel,Product Name,Manufacturer,Brand Name,Product Sub Category,Product Category,Region,City,Country
17-05-2019,2019,12,99.57478024,372,272.4252198,Store,Contoso Integrated Business Phone L08 White,"Contoso, Ltd",Contoso,Home & Office Phones,Cell phones,Europe,Cheshire,United Kingdom
23-06-2020,2020,20,5896.013606,6080,183.9863936,Store,Contoso SLR Camera M143 Grey,"Contoso, Ltd",Contoso,Digital SLR Cameras,Cameras and camcorders ,North America,Cle Elum,United States
10-06-2018,2018,15,547.6873829,4048.5,3500.812617,Store,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Wide World Importers,Desktops,Computers,North America,Westminster,Canada
13-01-2020,2020,13,5200.39556,7900.2,2699.80444,Store,Fabrikam SLR Camera X149 Blue,"Fabrikam, Inc.",Fabrikam,Digital SLR Cameras,Cameras and camcorders ,North America,Pittsfield,United States
21-05-2018,2018,5,285.4264515,134.5,-150.9264515,Store,Contoso Bright Light battery E20 Pink,"Contoso, Ltd",Contoso,Computers Accessories,Computers,North America,Pittsfield,United States
15-12-2020,2020,13,2336.120296,2519.37,183.2497037,Store,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Wide World Importers,Recording Pen,Audio,North America,Baytown,United States
22-07-2018,2018,5,2.624732651,64.95,62.32526735,Online,Contoso 512MB MP3 Player E51 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
09-06-2018,2018,10,40.92948645,4090,4049.070514,Online,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Contoso,Home Theater System,TV and Video,Europe,Berlin,Germany
20-10-2019,2019,9,387.8266329,1478.913,1091.086367,Online,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,Europe,Berlin,Germany
09-02-2018,2018,16,4865.160753,4836,-29.16075323,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,Berlin,Germany
17-01-2020,2020,8,61.63484041,574.832,513.1971596,Online,Contoso 4GB Flash MP3 Player E401 Blue,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
15-08-2019,2019,10,117.0667784,959.5,842.4332216,Online,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
20-01-2021,2021,16,758.5174507,3433.6,2675.082549,Online,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
20-01-2021,2021,32,47.54522104,1372.8,1325.254779,Online,SV Keyboard E10 Grey,Southridge Video,Southridge Video,Computers Accessories,Computers,Europe,Berlin,Germany
25-11-2020,2020,16,86.67065898,3526.4,3439.729341,Online,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Berlin,Germany
02-04-2019,2019,24,1627.133625,1150.8,-476.333625,Online,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,Europe,Berlin,Germany
02-01-2019,2019,8,2.52451718,455.4,452.8754828,Online,Adventure Works CRT19 E10 Black,Adventure Works,Adventure Works,Monitors,Computers,Europe,Berlin,Germany
27-12-2019,2019,8,2566.691856,1287,-1279.691856,Online,Fabrikam Social Videographer 1/3'' 8.5mm E200 Black,"Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,Europe,Berlin,Germany
09-10-2020,2020,9,5.704257777,2199.912,2194.207742,Online,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,Europe,Berlin,Germany
09-02-2020,2020,9,700.0336066,1769.5575,1069.523893,Store,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers,Recording Pen,Audio,Europe,Cambridge,United Kingdom
01-10-2018,2018,5,11.62085222,72.6,60.97914778,Store,Contoso 1G MP3 Player E100 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Ashgabat,Turkmenistan
05-02-2019,2019,13,279.4812165,20080,19800.51878,Store,Fabrikam Independent Filmmaker 1'' 25mm X400 Grey,"Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,Asia,Ashgabat,Turkmenistan
09-08-2019,2019,12,24.99605983,258.84,233.8439402,Reseller,Contoso 2G MP3 Player E200 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
23-05-2019,2019,20,417.9256057,431.4,13.47439428,Reseller,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
24-01-2021,2021,13,242.974442,8947.2,8704.225558,Reseller,Adventure Works Laptop15 M1501 Red,Adventure Works,Adventure Works,Laptops,Computers,North America,Seattle,United States
20-09-2019,2019,12,1270.230381,2748,1477.769619,Reseller,Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,"Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,North America,Seattle,United States
03-08-2019,2019,12,209.8912635,932.16,722.2687365,Reseller,Contoso 4GB Flash MP3 Player E401 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
10-01-2020,2020,13,1599.76914,7667.2,6067.43086,Reseller,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware,Home Theater System,TV and Video,North America,Seattle,United States
30-10-2019,2019,24,31.78882127,3175.8,3144.011179,Reseller,Contoso 8GB MP3 Player new model M820 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
28-10-2019,2019,24,829.1315605,11847.63,11018.49844,Reseller,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Adventure Works,Desktops,Computers,North America,Seattle,United States
31-10-2018,2018,72,7473.517346,35642.87,28169.35265,Reseller,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Adventure Works,Desktops,Computers,North America,Seattle,United States
14-03-2020,2020,18,1330.684422,5802.8,4472.115578,Reseller,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Proseware,Laptops,Computers,North America,Seattle,United States
13-11-2019,2019,10,2749.759719,2550,-199.7597189,Reseller,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
12-05-2019,2019,20,2116.860798,1919,-197.8607976,Reseller,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Seattle,United States
26-02-2019,2019,9,183.1741684,2610,2426.825832,Reseller,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,Seattle,United States
01-09-2018,2018,18,332.0352853,447.006,114.9707147,Reseller,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Seattle,United States
19-01-2019,2019,120,200.6591758,567.852,367.1928242,Reseller,Contoso Rubberized Snap-On Cover Hard Case Cell Phone Protector E160 White,"Contoso, Ltd",Contoso,Cell phones Accessories,Cell phones,North America,Seattle,United States
10-03-2020,2020,18,0.316978255,1974.3205,1974.003522,Reseller,SV DVD 7-Inch Player Portable E200 White,Southridge Video,Southridge Video,Movie DVD,"Music, Movies and Audio Books",North America,Seattle,United States
22-04-2020,2020,18,919.0506272,2035.5,1116.449373,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,North America,Seattle,United States
26-06-2020,2020,10,35.83069587,1150,1114.169304,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,North America,Seattle,United States
20-11-2020,2020,20,89.80565358,431.4,341.5943464,Online,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Bethesda,United States
06-06-2020,2020,30,17512.15585,47400,29887.84415,Online,Fabrikam Independent filmmaker 1/2'' 3mm X300 White,"Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,North America,Bethesda,United States
18-02-2019,2019,9,653.6323804,2728,2074.36762,Online,The Phone Company Smart phones Unlocked International M800 Gold,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,North America,Bethesda,United States
02-04-2019,2019,9,54.76498734,978.555,923.7900127,Online,Contoso 8GB Super-Slim MP3/Video Player M800 Red,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Bethesda,United States
17-09-2019,2019,96,20161.10167,21886.48,1725.378331,Online,WWI Desktop PC1.80 E1800 White,Wide World Importers,Wide World Importers,Desktops,Computers,North America,Bethesda,United States
28-01-2021,2021,13,295.6762305,1715.2,1419.523769,Online,Contoso 8GB MP3 Player new model M820 Yellow,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Bethesda,United States
04-02-2019,2019,9,53.01867561,103.5,50.48132439,Online,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,North America,Bethesda,United States
06-12-2019,2019,26,4408.777192,7954.4,3545.622808,Online,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Proseware,Laptops,Computers,North America,Bethesda,United States
24-01-2020,2020,13,2231.182574,3977.2,1746.017426,Online,Proseware Laptop8.9 E089 Black,"Proseware, Inc.",Proseware,Laptops,Computers,North America,Bethesda,United States
27-07-2018,2018,30,1054.395376,8700,7645.604624,Online,A. Datum Super-zoom Digital Camera X300 Azure,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,Bethesda,United States
18-08-2019,2019,12,677.1210457,2199.6,1522.478954,Online,"Fabrikam Social Videographer 1"" 25mm E400 Blue","Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,North America,Bethesda,United States
14-07-2018,2018,10,90.89211682,1390,1299.107883,Online,Contoso Screen 85in E085 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,North America,Bethesda,United States
18-03-2020,2020,18,379.8160171,709.8225,330.0064829,Online,Contoso Electronic Private Automatic Branch Exchange M90 Black,"Contoso, Ltd",Contoso,Home & Office Phones,Cell phones,North America,Bethesda,United States
11-12-2019,2019,52,1287.697364,13416.2,12128.50264,Online,SV Car Video TFT6.2W E6281 Silver,Southridge Video,Southridge Video,Car Video,TV and Video,North America,Bethesda,United States
17-11-2018,2018,10,112.847739,479.5,366.652261,Online,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bethesda,United States
20-03-2018,2018,12,559.5230334,3225.305,2665.781967,Online,WWI Desktop PC1.80 E1801 Black,Wide World Importers,Wide World Importers,Desktops,Computers,North America,Bethesda,United States
05-01-2019,2019,26,568.5962729,5431.2,4862.603727,Online,Contoso DVD Recorder L210 Silver,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",North America,Bethesda,United States
27-06-2020,2020,10,2.7916105,1499.9,1497.108389,Online,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bethesda,United States
14-05-2020,2020,20,1379.990812,2999.8,1619.809188,Online,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Northwind Traders,Bluetooth Headphones,Audio,North America,Bethesda,United States
12-05-2018,2018,5,559.3856259,1499.5,940.1143741,Online,Litware Home Theater System 2.1 Channel E212 Brown,"Litware, Inc.",Litware,Home Theater System,TV and Video,North America,Bethesda,United States
20-10-2019,2019,12,1008.213591,1286.883,278.6694092,Online,SV DVD 7-Inch Player Portable E200 White,Southridge Video,Southridge Video,Movie DVD,"Music, Movies and Audio Books",North America,Bethesda,United States
14-12-2018,2018,4,45.09294317,760,714.9070568,Store,Contoso Screen 100in E010 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,Europe,Leeds,United Kingdom
08-09-2019,2019,12,10.06857719,256.683,246.6144228,Store,Contoso 2G MP3 Player E200 Red,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Madison,United States
10-11-2018,2018,5,4.24288723,107.85,103.6071128,Store,Contoso 2G MP3 Player E200 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Plattsburgh,United States
18-12-2018,2018,13,4099.11566,4649.4,550.2843402,Store,SV Car Video LCD7 M7002 Black,Southridge Video,Southridge Video,Car Video,TV and Video,North America,Plattsburgh,United States
26-08-2018,2018,20,6278.216532,6200,-78.21653205,Reseller,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Europe,Paris,France
01-06-2020,2020,24,4335.474678,4560,224.5253223,Reseller,Contoso Screen 100in E010 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,Europe,Paris,France
18-12-2018,2018,8,1323.314012,1079.64,-243.6740115,Reseller,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Wide World Importers,Recording Pen,Audio,Europe,Paris,France
10-10-2020,2020,18,2599.788908,2776.8,177.0110922,Reseller,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers,Recording Pen,Audio,Europe,Paris,France
27-09-2018,2018,9,904.3145333,6221.1,5316.785467,Reseller,WWI Projector 720p LCD56 Black,Wide World Importers,Wide World Importers,Projectors & Screens,Computers,Europe,Paris,France
19-04-2020,2020,6,1211.080714,1626.99,415.9092856,Reseller,A. Datum Consumer Digital Camera E100 Green,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,Europe,Paris,France
26-09-2019,2019,9,234.8516714,1012,777.1483286,Reseller,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers,Bluetooth Headphones,Audio,Europe,Paris,France
21-08-2019,2019,12,8824.045427,3720,-5104.045427,Store,The Phone Company PDA Wifi 3.7-inch M250 White,The Phone Company,The Phone Company,Smart phones & PDAs ,Cell phones,Asia,Sydney,Australia
19-10-2020,2020,18,4416.21155,1067.822,-3348.38955,Store,Contoso 4G MP3 Player E400 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Ramstein,Germany
01-02-2019,2019,8,455.1472721,690.84,235.6927279,Store,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Europe,Ramstein,Germany
06-07-2018,2018,5,31.40025953,220,188.5997405,Store,SV Keyboard E10 Grey,Southridge Video,Southridge Video,Computers Accessories,Computers,Europe,Ramstein,Germany
06-03-2018,2018,12,14.69679371,3631.32,3616.623206,Store,The Phone Company Touch Screen Phones Capacitive M908 Black,The Phone Company,The Phone Company,Touch Screen Phones ,Cell phones,Europe,Ramstein,Germany
01-03-2020,2020,13,273.9898256,9925.63,9651.640174,Store,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Sydney,Australia
11-05-2019,2019,10,106.9926896,599.9,492.9073104,Store,Contoso 4G MP3 Player E400 Orange,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Cheney,United States
16-07-2020,2020,20,749.506454,1519.8,770.293546,Store,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Southridge Video,Computers Accessories,Computers,Europe,Glasgow,United Kingdom
28-04-2020,2020,18,742.6375816,1367.82,625.1824184,Store,SV 40GB USB2.0 Portable Hard Disk E400 Silver,Southridge Video,Southridge Video,Computers Accessories,Computers,Asia,Tehran,Iran
21-07-2020,2020,12,674.3666788,7068.2,6393.833321,Store,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware,Home Theater System,TV and Video,Asia,Tehran,Iran
10-07-2018,2018,10,17.08440481,5690,5672.915595,Store,Litware Home Theater System 5.1 Channel M515 Silver,"Litware, Inc.",Litware,Home Theater System,TV and Video,North America,Roanoke,United States
09-04-2019,2019,9,2271.790788,8010,5738.209212,Store,"Fabrikam Business Videographer 1"" 25mm M600 Blue","Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,North America,Calgary,Canada
22-01-2020,2020,13,1858.958847,719.8,-1139.158847,Store,Adventure Works CRT17 E105 White,Adventure Works,Adventure Works,Monitors,Computers,North America,Calgary,Canada
06-04-2018,2018,9,351.0577827,3619.65,3268.592217,Store,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Contoso,Home Theater System,TV and Video,North America,Denver,United States
27-07-2018,2018,10,734.6010806,4090,3355.398919,Store,Contoso Home Theater System 4.1 Channel M1400 Brown,"Contoso, Ltd",Contoso,Home Theater System,TV and Video,Europe,Munich,Germany
09-03-2018,2018,12,298.4872443,1896.87,1598.382756,Store,"Proseware Color Ink Jet Fax, Copier, Phone M250 Black","Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Europe,Munich,Germany
05-03-2018,2018,36,27938.62827,17926.414,-10012.21427,Store,Adventure Works Desktop PC1.80 ED182 White,Adventure Works,Adventure Works,Desktops,Computers,Europe,Liverpool,United Kingdom
24-09-2018,2018,9,2305.80555,6291,3985.19445,Store,Proseware Projector 720p LCD56 White,"Proseware, Inc.",Proseware,Projectors & Screens,Computers,Europe,Liverpool,United Kingdom
15-11-2018,2018,5,284.3952593,849.95,565.5547407,Store,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Hong Kong,China
13-03-2019,2019,9,762.4247238,1244.05,481.6252762,Store,Contoso Screen 85in E085 Black,"Contoso, Ltd",Contoso,Projectors & Screens,Computers,North America,Redmond,United States
11-05-2018,2018,4,8.616160199,611.964,603.3478398,Reseller,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,Asia,Beijing,China
08-11-2018,2018,10,4115.869358,2992.3,-1123.569358,Reseller,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",Contoso,MP4&MP3,Audio,Asia,Beijing,China
01-12-2020,2020,10,1848.743417,5990,4141.256583,Reseller,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware,Home Theater System,TV and Video,Asia,Beijing,China
05-11-2019,2019,10,16.65791384,115,98.34208616,Reseller,Contoso Desktop Alternative Bundle E200 Black,"Contoso, Ltd",Contoso,Computers Accessories,Computers,Asia,Beijing,China
02-05-2019,2019,9,379.3867894,738,358.6132106,Reseller,Adventure Works CRT15 E101 White,Adventure Works,Adventure Works,Monitors,Computers,Asia,Beijing,China
17-10-2020,2020,20,4113.790202,4960,846.2097984,Reseller,Proseware High-Performance Business-Class Laser Fax X200 White,"Proseware, Inc.",Proseware,"Printers, Scanners & Fax",Computers,Asia,Beijing,China
21-04-2018,2018,9,499.0718646,3629.2,3130.128135,Reseller,Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,"Fabrikam, Inc.",Fabrikam,Camcorders,Cameras and camcorders ,Asia,Beijing,China
21-01-2020,2020,13,347.1459235,1638.3,1291.154076,Reseller,Proseware LCD17W E202 White,"Proseware, Inc.",Proseware,Monitors,Computers,Asia,Beijing,China
12-05-2020,2020,18,1735.272684,1702.8,-32.47268431,Reseller,Adventure Works LCD17 E200 Black,Adventure Works,Adventure Works,Monitors,Computers,Asia,Beijing,China
28-11-2018,2018,10,522.3734756,2190,1667.626524,Reseller,Contoso DVD Recorder L230 Grey,"Contoso, Ltd",Contoso,Movie DVD,"Music, Movies and Audio Books",Asia,Beijing,China
04-02-2019,2019,9,43.13414637,687.468,644.3338536,Store,Contoso 4GB Flash MP3 Player E401 Silver,"Contoso, Ltd",Contoso,MP4&MP3,Audio,North America,Renton,United States
23-07-2020,2020,20,284.2918766,3399.8,3115.508123,Catalog,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,Televisions,TV and Video,North America,North Harford,United States
05-11-2020,2020,10,4723.62764,2990,-1733.62764,Catalog,SV Car Video TFT7 M7000 Silver,Southridge Video,Southridge Video,Car Video,TV and Video,North America,North Harford,United States
31-01-2020,2020,39,105.7887825,7480,7374.211218,Catalog,A. Datum Rangefinder Digital Camera X200 Azure,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,North Harford,United States
03-12-2020,2020,13,2482.896044,7667.2,5184.303956,Catalog,Litware Home Theater System 5.1 Channel M514 Silver,"Litware, Inc.",Litware,Home Theater System,TV and Video,North America,North Harford,United States
14-09-2020,2020,6,208.0570878,4866.4,4658.342912,Catalog,Adventure Works LCD24W X300 White,Adventure Works,Adventure Works,Monitors,Computers,North America,North Harford,United States
29-08-2020,2020,12,2101.904058,2214,112.0959424,Catalog,A. Datum Consumer Digital Camera M300 Grey,A. Datum Corporation,A. Datum,Digital Cameras,Cameras and camcorders ,North America,North Harford,United States
