Product Name,Total Profit,%Profit Contribution,%age Cummulative Profit Contribution
Adventure Works Desktop PC1.80 ED180 Black,100625,0.0028,0.208
"A. Datum SLR Camera 35"" X358 Black",99859,0.0028,0.2108
Fabrikam Independent Filmmaker 2/3'' 17mm X100 Grey,99139,0.0028,0.2136
"Fabrikam Independent Filmmaker 1/3"" 8.5mm X200 Blue",98372,0.0028,0.2163
Adventure Works Desktop PC1.80 ED180 Silver,97998,0.0028,0.2191
Fabrikam Trendsetter 2/3'' 17mm X100 Grey,96091,0.0027,0.2218
Adventure Works Laptop16 M1601 White,95143,0.0027,0.2245
Adventure Works Laptop19W X1980 Silver,94034,0.0026,0.2271
WWI Projector 720p LCD56 Black,93229,0.0026,0.2297
"Adventure Works 40"" LCD HDTV M690 Brown",93074,0.0026,0.2323
Litware Home Theater System 5.1 Channel M515 Brown,91949,0.0026,0.2349
WWI Laptop19W X0196 White,91660,0.0026,0.2375
WWI Projector 1080p LCD86 White,91235,0.0026,0.2401
"Fabrikam SLR Camera 35"" X358 Orange",90404,0.0025,0.2426
Proseware Laptop16 M610 White,90367,0.0025,0.2451
Fabrikam Business Videographer 1'' 25mm M600 White,89832,0.0025,0.2477
Fabrikam Trendsetter 1'' 25mm X400 Black,89733,0.0025,0.2502
Contoso Bluetooth Active Headphones L15 White,89378,0.0025,0.2527
"Fabrikam SLR Camera 35"" X358 Black",89180,0.0025,0.2552
Adventure Works Laptop15 M1501 Red,88646,0.0025,0.2577
Contoso Projector 720p M621 Silver,88148,0.0025,0.2602
WWI Projector 1080p DLP86 Silver,88046,0.0025,0.2627
Adventure Works Desktop PC1.80 ED180 White,88015,0.0025,0.2651
Fabrikam Laptop14.1 M4100 White,86323,0.0024,0.2675
Adventure Works LCD24W X300 White,86268,0.0024,0.27
Adventure Works Desktop PC1.80 ED182 Silver,86110,0.0024,0.2724
Proseware Projector 1080p LCD86 Silver,86098,0.0024,0.2748
WWI Desktop PC2.30 M2300 Silver,85754,0.0024,0.2772
Adventure Works LCD24W X300 Black,85022,0.0024,0.2796
Adventure Works Laptop15.4W M1548 Red,83151,0.0023,0.2819
Fabrikam Independent Filmmaker 1/3'' 8.5mm X200 Grey,82824,0.0023,0.2843
Contoso Projector 720p M620 Silver,82362,0.0023,0.2866
Fabrikam Independent filmmaker 2/3'' 17mm X100 White,81554,0.0023,0.2889
A. Datum SLR Camera X137 Grey,81543,0.0023,0.2912
"Adventure Works 52"" LCD HDTV X790W White",80775,0.0023,0.2934
Fabrikam Independent filmmaker 1'' 25mm X400 White,80586,0.0023,0.2957
Proseware Laptop15 M510 Black,80211,0.0023,0.298
WWI Desktop PC1.80 E1802 White,80181,0.0023,0.3002
Fabrikam Laptop16 M6000 Black,79985,0.0022,0.3025
"Fabrikam Business Videographer 1/2"" 3mm M500 Orange",79248,0.0022,0.3047
Fabrikam Independent Filmmaker 1/2'' 3mm X300 Grey,78825,0.0022,0.3069
"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Black",78512,0.0022,0.3091
Contoso SLR Camera X142 Black,78206,0.0022,0.3113
"A. Datum SLR Camera 35"" X358 Gold",77504,0.0022,0.3135
"Adventure Works 52"" LCD HDTV X790W Black",77363,0.0022,0.3157
WWI Projector 720p DLP56 White,76944,0.0022,0.3178
"Fabrikam Business Videographer 1/3"" 8.5mm M380 Orange",76756,0.0022,0.32
Adventure Works Laptop15.4W M1548 Silver,75921,0.0021,0.3221
SV Car Video LCD7W M7081 Black,74537,0.0021,0.3242
Adventure Works Laptop15 M1500 Black,74448,0.0021,0.3263
SV Car Video LCD9.2W X9281 Brown,74195,0.0021,0.3284
Fabrikam SLR Camera X146 Black,74107,0.0021,0.3305
Litware Home Theater System 5.1 Channel M515 Black,73672,0.0021,0.3325
Fabrikam SLR Camera X148 Silver Grey,72866,0.002,0.3346
Adventure Works Laptop15.4W M1548 White,72833,0.002,0.3366
"Fabrikam Trendsetter 1/2"" 3mm X300 Orange",72824,0.002,0.3387
Adventure Works Laptop15.4W M1548 Black,71763,0.002,0.3407
WWI Projector 720p DLP56 Silver,71496,0.002,0.3427
Fabrikam Laptop15.4W M5480 White,70465,0.002,0.3447
Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 White,70135,0.002,0.3466
"Fabrikam Independent Filmmaker 2/3"" 17mm X100 Blue",69657,0.002,0.3486
"Fabrikam Home and vacation moviemaker 1/3"" 8.5mm M200 Blue",69322,0.0019,0.3506
Contoso Home Theater System 5.1 Channel M1500 White,69193,0.0019,0.3525
"Fabrikam Trendsetter 1"" 25mm X400 Blue",67837,0.0019,0.3544
Fabrikam Laptop19W M9800 Black,67832,0.0019,0.3563
Fabrikam Budget Moviemaker 1/2'' 3mm E300 Black,67830,0.0019,0.3582
Proseware Projector 720p DLP56 Black,67776,0.0019,0.3601
WWI Projector 720p DLP56 Black,67235,0.0019,0.362
WWI Laptop16 M0160 Black,66818,0.0019,0.3639
Fabrikam Home and Vacation Moviemaker 2/3'' 17mm M103 Grey,66321,0.0019,0.3657
Adventure Works Laptop16 M1601 Silver,66000,0.0019,0.3676
WWI Laptop15 M0150 Black,65884,0.0019,0.3695
Fabrikam Trendsetter 1/3'' 8.5mm X200 Grey,65771,0.0018,0.3713
"Fabrikam SLR Camera 35"" X358 Gold",65619,0.0018,0.3731
Fabrikam Business Videographer 2/3'' 17mm M280 Grey,65480,0.0018,0.375
"Contoso SLR Camera 35"" X358 Silver Grey",65473,0.0018,0.3768
Contoso SLR Camera X146 Orange,65085,0.0018,0.3787
Fabrikam Trendsetter 1/3'' 8.5mm X200 White,64911,0.0018,0.3805
"Fabrikam SLR Camera 35"" X358 Pink",64674,0.0018,0.3823
Fabrikam Business Videographer 1/3'' 8.5mm M380 Black,64585,0.0018,0.3841
Fabrikam SLR Camera X147 Grey,64200,0.0018,0.3859
"A. Datum SLR Camera 35"" X358 Blue",63584,0.0018,0.3877
Contoso Home Theater System 7.1 Channel M1700 Brown,63301,0.0018,0.3895
Fabrikam Trendsetter 1/3'' 8.5mm X200 Black,63078,0.0018,0.3913
"Fabrikam SLR Camera 35"" X358 Silver Grey",62951,0.0018,0.393
SV Car Video LCD7W M7080 Silver,62661,0.0018,0.3948
Proseware Projector 720p LCD56 Silver,62472,0.0018,0.3965
WWI Desktop PC2.30 M2300 Black,62035,0.0017,0.3983
Litware Home Theater System 5.1 Channel M513 Black,61943,0.0017,0.4
Proseware Projector 720p DLP56 White,61313,0.0017,0.4017
Adventure Works Desktop PC1.80 ED180 Brown,61038,0.0017,0.4035
WWI LCD22W M2003 White,60738,0.0017,0.4052
Fabrikam Budget Movie-Maker 1/2'' 3mm E300 Black,60129,0.0017,0.4069
Contoso Home Theater System 4.1 Channel M1400 Brown,58822,0.0017,0.4085
"Adventure Works 26"" 720p LCD HDTV M140 Black",58744,0.0017,0.4102
"Contoso SLR Camera 35"" X358 Black",58479,0.0016,0.4118
"Fabrikam Independent Filmmaker 1/2"" 3mm X300 Orange",58378,0.0016,0.4134
Fabrikam Budget Moviemaker 1/2'' 3mm E300 Grey,57973,0.0016,0.4151
Cigarette Lighter Adapter for Contoso Phones E110 Red,57596,0.0016,0.4167
Fabrikam Independent filmmaker 1/2'' 3mm X300 White,57284,0.0016,0.4183
Fabrikam SLR Camera X150 Orange,56926,0.0016,0.4199
Fabrikam Business Videographer 1/2'' 3mm M500 Black,56898,0.0016,0.4215
Adventure Works Desktop PC1.80 ED182 Black,56622,0.0016,0.4231
Contoso SLR Camera X143 Grey,56294,0.0016,0.4247
A. Datum SLR Camera X138 Silver Grey,56180,0.0016,0.4262
The Phone Company PDA Wifi 4.7-inch L290 White,55968,0.0016,0.4278
WWI LCD24 X300 White,55559,0.0016,0.4294
Adventure Works Laptop15 M1501 White,54963,0.0015,0.4309
WWI Projector 480p DLP12 White,54283,0.0015,0.4325
Fabrikam Trendsetter 1'' 25mm X400 Grey,54272,0.0015,0.434
"Fabrikam Business Videographer 1/3"" 8.5mm M380 Blue",54231,0.0015,0.4355
Fabrikam Laptop17 M7000 Black,54048,0.0015,0.437
Contoso DVD 15-Inch Player Portable L200 Silver,53876,0.0015,0.4385
"Fabrikam SLR Camera 35"" X358 Silver",53600,0.0015,0.44
Contoso SLR Camera X143 Silver,52930,0.0015,0.4415
Fabrikam Laptop14.1W M4180 Red,52760,0.0015,0.443
Adventure Works Laptop8.9 E0890 Black,52499,0.0015,0.4445
Contoso Home Theater System 5.1 Channel M1520 White,52448,0.0015,0.446
Contoso SLR Camera X144 Gold,52282,0.0015,0.4474
Adventure Works Desktop PC1.60 ED160 Black,52251,0.0015,0.4489
Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 Black,51979,0.0015,0.4504
Fabrikam Laptop15.4 M5400 White,51855,0.0015,0.4518
"Fabrikam SLR Camera 35"" X358 Blue",51547,0.0014,0.4533
"Fabrikam Business Videographer 2/3"" 17mm M280 Blue",51389,0.0014,0.4547
Cigarette Lighter Adapter for Contoso Phones E110 White,50816,0.0014,0.4561
SV Car Video LCD7 M7002 Black,50507,0.0014,0.4576
Adventure Works Laptop15 M1501 Blue,50273,0.0014,0.459
Fabrikam SLR Camera X150 Green,50169,0.0014,0.4604
Adventure Works Desktop PC1.80 ED182 Brown,50026,0.0014,0.4618
Contoso Projector 480p M481 Silver,50015,0.0014,0.4632
Contoso Home Theater System 4.1 Channel M1400 Silver,49998,0.0014,0.4646
Fabrikam SLR Camera X147 Silver,49429,0.0014,0.466
Adventure Works LCD22W M200 White,49385,0.0014,0.4674
WWI Desktop PC1.60 E1600 Black,49271,0.0014,0.4688
A. Datum SLR Camera X136 Silver,49270,0.0014,0.4701
Adventure Works Laptop12 M1201 Red,49151,0.0014,0.4715
"Contoso SLR Camera 35"" X358 Silver",48571,0.0014,0.4729
"Adventure Works 52"" LCD HDTV X590 Silver",48363,0.0014,0.4742
The Phone Company PDA Phone 4.7 inches L360 Black,48356,0.0014,0.4756
"Contoso SLR Camera 35"" X358 Orange",48316,0.0014,0.477
"Fabrikam SLR Camera 35"" X358 Green",48148,0.0014,0.4783
SV Car Video LCD7W M7082 Black,48119,0.0014,0.4797
Contoso Home Theater System 5.1 Channel M1530 Silver,48062,0.0014,0.481
Contoso Home Theater System 7.1 Channel M1700 Black,47891,0.0013,0.4824
Litware Home Theater System 5.1 Channel M513 Silver,47856,0.0013,0.4837
Fabrikam Business Videographer 1'' 25mm M600 Grey,47732,0.0013,0.485
WWI Desktop PC2.30 M2300 White,47429,0.0013,0.4864
The Phone Company PDA Phone 4.7 inches L360 White,47224,0.0013,0.4877
WWI Projector 720p LCD56 White,46808,0.0013,0.489
Litware Home Theater System 5.1 Channel M514 Silver,46707,0.0013,0.4903
"Contoso SLR Camera 35"" X358 Grey",46685,0.0013,0.4916
WWI Laptop15.4W M0156 Black,46636,0.0013,0.493
Litware Home Theater System 5.1 Channel M511 Silver,46529,0.0013,0.4943
SV Car Video TFT7 M7001 Black,46503,0.0013,0.4956
Litware Home Theater System 7.1 Channel M710 Black,46429,0.0013,0.4969
Fabrikam SLR Camera X149 Blue,46299,0.0013,0.4982
"Adventure Works 26"" 720p LCD HDTV M140 Brown",46184,0.0013,0.4995
"Fabrikam SLR Camera 35"" M358 Gold",46174,0.0013,0.5008
Contoso SLR Camera X144 Silver Grey,46129,0.0013,0.5021
Fabrikam Home and vacation moviemaker 2/3'' 17mm M103 Black,45931,0.0013,0.5034
Adventure Works Laptop12 M1201 White,45715,0.0013,0.5046
SV Car Video TFT7 M7001 Brown,45663,0.0013,0.5059
"A. Datum SLR Camera 35"" X358 Silver",45447,0.0013,0.5072
Contoso 8GB Clock & Radio MP3 Player X850 Blue,45402,0.0013,0.5085
A. Datum SLR Camera M137 Grey,45227,0.0013,0.5097
Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Black,45185,0.0013,0.511
SV Car Video LCD7W M7081 Silver,45080,0.0013,0.5123
Adventure Works Desktop PC1.60 ED160 White,44890,0.0013,0.5135
A. Datum Super-zoom Digital Camera X300 Grey,44651,0.0013,0.5148
Contoso Projector 480p M481 Black,44463,0.0012,0.516
Contoso Home Theater System 5.1 Channel M1530 White,44351,0.0012,0.5173
Contoso Touch Screen Phones SAW/On-wall M806 Black,44121,0.0012,0.5185
Adventure Works Laptop8.9 E0890 Red,44096,0.0012,0.5198
Proseware Projector 720p DLP56 Silver,43984,0.0012,0.521
Adventure Works Laptop15 M1501 Silver,43933,0.0012,0.5222
Litware Home Theater System 5.1 Channel M511 Black,43916,0.0012,0.5235
Fabrikam Business Videographer 1/3'' 8.5mm M380 Grey,43855,0.0012,0.5247
Proseware LCD22 M2000 Black,43791,0.0012,0.5259
Litware Home Theater System 5.1 Channel M516 Silver,43723,0.0012,0.5272
The Phone Company Smart phones Unlocked M300 White,43694,0.0012,0.5284
The Phone Company PDA Phone 3.5 inches M320 White,43582,0.0012,0.5296
Contoso Home Theater System 4.1 Channel M1420 Black,43265,0.0012,0.5308
WWI Laptop12 M0120 White,43223,0.0012,0.532
Adventure Works Desktop PC1.60 ED160 Silver,43100,0.0012,0.5333
The Phone Company PDA Phone 3.5 inches M320 Silver,42994,0.0012,0.5345
Proseware Laptop8.9 E089 White,42932,0.0012,0.5357
SV Car Video LCD7W M7082 Silver,42914,0.0012,0.5369
"A. Datum SLR Camera 35"" M358 Silver",42857,0.0012,0.5381
Contoso Home Theater System 4.1 Channel M1400 White,42853,0.0012,0.5393
Litware Home Theater System 5.1 Channel M511 Brown,42787,0.0012,0.5405
Contoso 8GB Clock & Radio MP3 Player X850 Green,42723,0.0012,0.5417
The Phone Company Touch Screen Phones Capacitive M908 Grey,42630,0.0012,0.5429
Contoso Home Theater System 4.1 Channel M1410 Brown,42566,0.0012,0.5441
WWI Laptop16 M0160 White,42504,0.0012,0.5453
SV Car Video LCD7W M7081 Brown,42028,0.0012,0.5465
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 White,41603,0.0012,0.5476
The Phone Company PDA Wifi 3.7-inch M250 Black,41566,0.0012,0.5488
WWI Laptop15 M0150 Blue,41474,0.0012,0.55
"A. Datum SLR Camera 35"" M358 Blue",41457,0.0012,0.5511
Proseware Laptop8.9 E089 Black,41296,0.0012,0.5523
Proseware Laptop15.4W M518 White,41228,0.0012,0.5534
Proseware Projector 480p DLP12 White,41168,0.0012,0.5546
"Adventure Works 52"" LCD HDTV X790W Brown",40642,0.0011,0.5557
SV Car Video LCD9.2W X9281 Black,40469,0.0011,0.5569
"The Phone Company Touch Screen Phones 26-1.4"" M250 Black",40448,0.0011,0.558
WWI Desktop PC1.80 E1801 Black,40424,0.0011,0.5592
"A. Datum SLR Camera 35"" X358 Grey",40372,0.0011,0.5603
SV Car Video LCD7W M7080 Black,40336,0.0011,0.5614
Fabrikam Business Videographer 1/3'' 8.5mm M380 White,40318,0.0011,0.5626
Contoso Home Theater System 2.1 Channel M1210 Brown,40314,0.0011,0.5637
"Contoso SLR Camera 35"" M358 Grey",40201,0.0011,0.5648
"Adventure Works 26"" 720p LCD HDTV M140 Silver",39959,0.0011,0.5659
Litware Home Theater System 5.1 Channel M515 Silver,39942,0.0011,0.5671
Contoso Rubberized Skin BlackBerry E100 Silver,39841,0.0011,0.5682
Proseware Projector 720p LCD56 Black,39762,0.0011,0.5693
A. Datum SLR Camera X140 Pink,39576,0.0011,0.5704
Fabrikam Business Videographer 1'' 25mm M600 Black,39433,0.0011,0.5715
Fabrikam SLR Camera M148 Silver Grey,39428,0.0011,0.5726
Contoso Home Theater System 2.1 Channel M1210 White,39404,0.0011,0.5737
Adventure Works LCD22W M200 Black,39402,0.0011,0.5748
Adventure Works Laptop12 M1201 Blue,39336,0.0011,0.5759
Contoso Home Theater System 5.1 Channel M1530 Black,39125,0.0011,0.577
Litware Home Theater System 5.1 Channel M514 Brown,38977,0.0011,0.5781
"Fabrikam Business Videographer 2/3"" 17mm M280 Orange",38755,0.0011,0.5792
"A. Datum SLR Camera 35"" X358 Silver Grey",38512,0.0011,0.5803
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Silver,38126,0.0011,0.5814
"Adventure Works 40"" LCD HDTV M690 Black",38116,0.0011,0.5825
Litware Home Theater System 7.1 Channel M710 Brown,38103,0.0011,0.5835
WWI Projector 480p DLP12 Black,37947,0.0011,0.5846
SV Car Video TFT7 M7002 Silver,37940,0.0011,0.5857
Proseware LCD22W M2001 Black,37902,0.0011,0.5867
The Phone Company Touch Screen Phones Infrared M901 Grey,37826,0.0011,0.5878
A. Datum Super-zoom Digital Camera X300 Silver,37785,0.0011,0.5888
Proseware High Speed Laser M2000 Black,37740,0.0011,0.5899
WWI LCD22 M2002 Black,37563,0.0011,0.591
The Phone Company PDA Palm 4.7 inch L850 Silver,37455,0.0011,0.592
Adventure Works Desktop PC1.60 ED160 Brown,37249,0.001,0.5931
WWI Projector 480p DLP12 Silver,37159,0.001,0.5941
Fabrikam Home and Vacation Moviemaker 1'' 25mm M400 White,36956,0.001,0.5951
WWI Desktop PC1.60 E1600 Silver,36909,0.001,0.5962
Litware Home Theater System 7.1 Channel M710 Silver,36909,0.001,0.5972
Proseware Laptop16 M610 Black,36581,0.001,0.5982
Fabrikam Budget Movie-Maker 1'' 25mm E400 Black,36497,0.001,0.5993
SV DVD 15-Inch Player Portable L200 White,36458,0.001,0.6003
"Fabrikam SLR Camera 35"" X358 Grey",36351,0.001,0.6013
SV Car Video TFT6.2W E6280 Brown,36322,0.001,0.6023
Fabrikam Budget Moviemaker 2/3'' 17mm E100 Black,36263,0.001,0.6034
WWI LCD22W M2003 Black,36245,0.001,0.6044
Fabrikam Laptop15 M5000 White,36153,0.001,0.6054
Contoso Home Theater System 4.1 Channel M1420 White,36149,0.001,0.6064
A. Datum Consumer Digital Camera E100 Black,36112,0.001,0.6074
"A. Datum SLR Camera 35"" M358 Pink",36023,0.001,0.6084
Litware Home Theater System 5.1 Channel M516 Black,35936,0.001,0.6094
Contoso Projector 720p M621 Black,35882,0.001,0.6105
"Fabrikam Home and Vacation Moviemaker 1/2"" 3mm M300 Orange",35875,0.001,0.6115
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Azure,35814,0.001,0.6125
The Phone Company PDA Palm 3.5 inch M810 White,35762,0.001,0.6135
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Black,35744,0.001,0.6145
Fabrikam Home and Vacation Moviemaker 1/2'' 3mm M300 Grey,35718,0.001,0.6155
"Adventure Works 20"" LCD HDTV M120 White",35709,0.001,0.6165
Contoso Home Theater System 4.1 Channel M1410 Black,35657,0.001,0.6175
The Phone Company PDA Palm 3.5 inch M810 Silver,35547,0.001,0.6185
"Fabrikam SLR Camera 35"" M358 Orange",35427,0.001,0.6195
"Adventure Works 40"" LCD HDTV M690 Silver",35261,0.001,0.6205
Litware Home Theater System 5.1 Channel M512 Black,35252,0.001,0.6215
Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Grey,35157,0.001,0.6224
Litware Home Theater System 2.1 Channel E211 Brown,34996,0.001,0.6234
A. Datum Super-zoom Digital Camera X300 Orange,34622,0.001,0.6244
WWI Desktop PC3.0 M0300 Silver,34526,0.001,0.6254
Litware Home Theater System 4.1 Channel M412 Black,34420,0.001,0.6263
"Contoso SLR Camera 35"" M358 Blue",34412,0.001,0.6273
Adventure Works Laptop16 M1601 Blue,34391,0.001,0.6283
Contoso Screen 100in E010 White,34388,0.001,0.6292
Litware Home Theater System 4.1 Channel M413 Silver,34139,0.001,0.6302
Fabrikam Budget Moviemaker 2/3'' 17mm E100 Grey,33995,0.001,0.6312
Fabrikam Budget Moviemaker 1/3'' 8.5mm E200 Grey,33977,0.001,0.6321
A. Datum Super-zoom Digital Camera X300 Azure,33901,0.001,0.6331
Contoso SLR Camera M144 Gold,33715,0.0009,0.634
SV Car Video TFT7 M7000 Silver,33674,0.0009,0.635
Fabrikam Home and Vacation Moviemaker 1/3'' 8.5mm M200 Black,33662,0.0009,0.6359
"The Phone Company Touch Screen Phone 1600 TFT-2.2"" L200 Grey",33650,0.0009,0.6368
Contoso SLR Camera M145 Blue,33568,0.0009,0.6378
Fabrikam Independent filmmaker 1/3'' 8.5mm X200 White,33518,0.0009,0.6387
WWI Desktop PC1.80 E1800 Silver,33271,0.0009,0.6397
Proseware Projector 480p LCD12 Silver,32916,0.0009,0.6406
SV Car Video TFT7 M7001 Silver,32915,0.0009,0.6415
Proseware Color Inkjet Fax with 5.8 GHz Cordless Handset X250 Black,32753,0.0009,0.6424
WWI Desktop PC1.80 E1800 Black,32691,0.0009,0.6434
Proseware Professional Quality Plain-Paper Fax and Copier X100 Grey,32452,0.0009,0.6443
The Phone Company PDA Handheld 3.7 inch M630 Black,32449,0.0009,0.6452
Proseware Laptop12 M210 White,32428,0.0009,0.6461
Contoso Pen Touch Screen Phones M320 Black,32322,0.0009,0.647
A. Datum SLR Camera M139 Gold,32165,0.0009,0.6479
The Phone Company PDA GPS Phone 4.7 inch L950 Black,32135,0.0009,0.6488
Contoso Home Theater System 5.1 Channel M1530 Brown,32109,0.0009,0.6497
The Phone Company PDA GPS Phone 3.5 inch M910 Silver,32087,0.0009,0.6506
"Adventure Works 52"" LCD HDTV X790W Silver",31936,0.0009,0.6515
The Phone Company Smart phones 6-LINE SCREEN M21 White,31890,0.0009,0.6524
"Fabrikam Social Videographer 1/2"" 3mm E300 Blue",31874,0.0009,0.6533
Contoso Projector 480p M480 White,31872,0.0009,0.6542
Litware Home Theater System 5.1 Channel M512 Silver,31767,0.0009,0.6551
A. Datum Interchangeable lens Non-SLR Digital Camera X250 Pink,31703,0.0009,0.656
The Phone Company Smart phones Unlocked International M800 Grey,31612,0.0009,0.6569
Contoso Home Theater System 5.1 Channel M1520 Brown,31596,0.0009,0.6578
Fabrikam Budget Moviemaker 1'' 25mm E400 White,31581,0.0009,0.6586
A. Datum Super-zoom Digital Camera X300 Pink,31419,0.0009,0.6595
"Fabrikam Home and Vacation Moviemaker 2/3"" 17mm M103 Blue",31210,0.0009,0.6604
"Fabrikam Business Videographer 1"" 25mm M600 Blue",31174,0.0009,0.6613
Proseware LCD24W X300 White,31052,0.0009,0.6621
"The Phone Company Touch Screen Phone 1600 TFT-1.4"" L250 Grey",31042,0.0009,0.663
Contoso Bluetooth Active Headphones L15 Black,31030,0.0009,0.6639
A. Datum Bridge Digital Camera M300 Green,30925,0.0009,0.6648
Fabrikam Laptop10.1 M0100 White,30685,0.0009,0.6656
The Phone Company Pen Touch Screen Phones M320 Gold,30684,0.0009,0.6665
The Phone Company PDA Handheld 4.7 inch L650 Black,30604,0.0009,0.6673
"Contoso SLR Camera 35"" M358 Orange",30546,0.0009,0.6682
The Phone Company Smart phones Expert M400 Grey,30516,0.0009,0.6691
Fabrikam Budget Moviemaker 1'' 25mm E400 Grey,30347,0.0009,0.6699
SV Car Video TFT7 M7000 Brown,30281,0.0009,0.6708
"A. Datum SLR Camera 35"" M358 Black",30249,0.0008,0.6716
The Phone Company Touch Screen Phones - CRT M11 Black,30079,0.0008,0.6725
"Adventure Works 20"" LCD HDTV M120 Black",30005,0.0008,0.6733
Fabrikam Laptop17W M7080 Black,29889,0.0008,0.6741
The Phone Company PDA GPS Phone 3.7 inch M930 Silver,29844,0.0008,0.675
Proseware Color Ink Jet Fax with 5.8 GHz Cordless Handset X250 White,29831,0.0008,0.6758
"Adventure Works 52"" LCD HDTV X590 Black",29758,0.0008,0.6767
The Phone Company PDA Phone Unlocked 4.7 inches L550 White,29733,0.0008,0.6775
Litware Home Theater System 5.1 Channel M512 Brown,29589,0.0008,0.6783
Adventure Works Desktop PC2.33 XD233 Silver,29551,0.0008,0.6792
WWI LCD22 M2002 White,29520,0.0008,0.68
Proseware 23ppm Laser Printer with Wireless and Wired Network Interfaces M680 Black,29444,0.0008,0.6808
Adventure Works Laptop16 M1601 Red,29428,0.0008,0.6816
SV Car Video TFT6.2W E6281 Black,29393,0.0008,0.6825
The Phone Company Smart phones Unlocked M300 Black,29320,0.0008,0.6833
Contoso Home Theater System 5.1 Channel M1500 Black,29240,0.0008,0.6841
SV DVD 15-Inch Player Portable L200 Black,29032,0.0008,0.6849
The Phone Company PDA Phone Unlocked 3.5 inches M530 Black,29028,0.0008,0.6857
Contoso Projector 480p M481 White,28955,0.0008,0.6866
The Phone Company Smart phones 6-LINE SCREEN M21 Black,28836,0.0008,0.6874
The Phone Company PDA Handheld 3.5 inch M610 Black,28825,0.0008,0.6882
